X,Result
-10.0,-1.5423510453572264
-9.99,-1.5766699751730902
-9.98,-1.6120884706880345
-9.97,-1.6486676714543194
-9.96,-1.6864732712603614
-9.950000000000001,-1.7255759518957485
-9.940000000000001,-1.7660518674241907
-9.930000000000001,-1.8079831859625197
-9.920000000000002,-1.8514586970943803
-9.910000000000002,-1.8965744943875145
-9.900000000000002,-1.9434347440774724
-9.890000000000002,-1.992152552882998
-9.880000000000003,-2.042850950196765
-9.870000000000003,-2.0956640026343116
-9.860000000000003,-2.150738082229419
-9.850000000000003,-2.208233313569302
-9.840000000000003,-2.268325230036282
-9.830000000000004,-2.3312066752780294
-9.820000000000004,-2.397089993340431
-9.810000000000004,-2.466209559916894
-9.800000000000004,-2.5388247183518247
-9.790000000000004,-2.615223197975031
-9.780000000000005,-2.695725109815495
-9.770000000000005,-2.780687636768488
-9.760000000000005,-2.870510563229842
-9.750000000000005,-2.965642824882267
-9.740000000000006,-3.066590305174636
-9.730000000000006,-3.173925164412481
-9.720000000000006,-3.288297064856681
-9.710000000000006,-3.4104467571542165
-9.700000000000006,-3.541222628685951
-9.690000000000007,-3.6816009955478215
-9.680000000000007,-3.832711164993456
-9.670000000000007,-3.9958666300114576
-9.660000000000007,-4.172604220971598
-9.650000000000007,-4.364733687385133
-9.640000000000008,-4.574401102252703
-9.630000000000008,-4.804170803483513
-9.620000000000008,-5.05713251959802
-9.610000000000008,-5.337043197124071
-9.600000000000009,-5.648517392925181
-9.590000000000009,-5.997286807051008
-9.580000000000009,-6.3905601361954565
-9.57000000000001,-6.837531604352771
-9.56000000000001,-7.350115135963861
-9.55000000000001,-7.944030307291826
-9.54000000000001,-8.640453789271938
-9.53000000000001,-9.468612480621212
-9.52000000000001,-10.470010590254388
-9.51000000000001,-11.70563276845093
-9.50000000000001,-13.268892733262668
-9.49000000000001,-15.310493784254632
-9.480000000000011,-18.09030082910573
-9.470000000000011,-22.09803552494532
-9.460000000000012,-28.379573044034558
-9.450000000000012,-39.63945704132268
-9.440000000000012,-65.68914629755497
-9.430000000000012,-191.4943312155852
-9.420000000000012,209.2927168422423
-9.410000000000013,67.66340894487159
-9.400000000000013,40.3501866768516
-9.390000000000013,28.74224872666159
-9.380000000000013,22.317486956053006
-9.370000000000013,18.237254134722868
-9.360000000000014,15.415750490284157
-9.350000000000014,13.347988900122889
-9.340000000000014,11.767245575110415
-9.330000000000014,10.51936452249422
-9.320000000000014,9.509040239417924
-9.310000000000015,8.674181044619326
-9.300000000000015,7.972599908406801
-9.290000000000015,7.374630214244295
-9.280000000000015,6.8588017534056815
-9.270000000000016,6.409192929328814
-9.260000000000016,6.013747094160328
-9.250000000000016,5.663166874709966
-9.240000000000016,5.3501675262414
-9.230000000000016,5.068960285491934
-9.220000000000017,4.814887101369777
-9.210000000000017,4.584157406649576
-9.200000000000017,4.373655153213775
-9.190000000000017,4.180795161479284
-9.180000000000017,4.003414681460837
-9.170000000000018,3.8396904911078655
-9.160000000000018,3.688074780563004
-9.150000000000018,3.5472450366070993
